first_name,last_name,initials,height_in,height_cm,mass,hair,gender,species,homeworld,brown_hair
Rugor,Nass,RN,81.1022,206,NA,none,m,GUNGAN,Naboo,FALSE
Jocasta,Nu,JN,65.7479,167,NA,white,f,HUMAN,Coruscant,FALSE
Nien,Nunb,NN,62.992,160,68,none,m,SULLUSTAN,Sullust,FALSE
Barriss,Offee,BO,65.3542,166,50,black,f,MIRIALAN,Mirial,FALSE
Ric,Olié,RO,72.0471,183,NA,brown,m,HUMAN,Naboo,TRUE
Leia,Organa,LO,59.055,150,49,brown,f,HUMAN,Alderaan,TRUE
Quarsh,Panaka,QP,72.0471,183,NA,black,m,HUMAN,Naboo,FALSE
Yarael,Poof,YP,103.9368,264,NA,none,m,QUERMIAN,Quermia,FALSE
Bail,Prestor Organa,BP,75.19669999999999,191,NA,black,m,HUMAN,Alderaan,FALSE
Ben,Quadinaros,BQ,64.1731,163,65,none,m,TOONG,Tund,FALSE
Ayla,Secura,AS,70.0786,178,55,none,f,TWI'LEK,Ryloth,FALSE
Anakin,Skywalker,AS,74.01559999999999,188,84,blond,m,HUMAN,Tatooine,FALSE
Luke,Skywalker,LS,67.7164,172,77,blond,m,HUMAN,Tatooine,FALSE
Shmi,Skywalker,SS,64.1731,163,NA,black,f,HUMAN,Tatooine,FALSE
Han,Solo,HS,70.866,180,80,brown,m,HUMAN,Corellia,TRUE
Lama,Su,LS,90.15729999999999,229,88,none,m,KAMINOAN,Kamino,FALSE
Wicket,Systri Warrick,WS,34.6456,88,20,brown,m,EWOK,Endor,TRUE
Wat,Tambor,WT,75.9841,193,48,none,m,SKAKOAN,Skako,FALSE
Wilhuff,Tarkin,WT,70.866,180,NA,"auburn, grey",m,HUMAN,Eriadu,FALSE
Roos,Tarpals,RT,88.1888,224,82,none,m,GUNGAN,Naboo,FALSE
Shaak,Ti,ST,70.0786,178,57,none,f,TOGRUTA,Shili,FALSE
Saesee,Tiin,ST,74.01559999999999,188,NA,none,m,IKTOTCHI,Iktotch,FALSE
Jek,Tono Porkins,JT,70.866,180,110,brown,NA,NA,Bestine IV,TRUE
Ratts,Tyerel,RT,31.1023,79,15,none,m,ALEENA,Aleen Minor,FALSE
Gregar,Typho,GT,72.8345,185,85,black,NA,NA,Naboo,FALSE
Luminara,Unduli,LU,66.929,170,56.2,black,f,MIRIALAN,Mirial,FALSE
Darth,Vader,DV,79.5274,202,136,none,m,HUMAN,Tatooine,FALSE
Finis,Valorum,FV,66.929,170,NA,blond,m,HUMAN,Coruscant,FALSE
Taun,We,TW,83.8581,213,NA,none,f,KAMINOAN,Kamino,FALSE
Zam,Wesell,ZW,66.1416,168,55,blonde,f,CLAWDITE,Zolan,FALSE
Beru,Whitesun Lars,BW,64.9605,165,75,brown,f,HUMAN,Tatooine,TRUE
Mace,Windu,MW,74.01559999999999,188,84,none,m,HUMAN,Haruun Kal,FALSE
Poggle,the Lesser,Pt,72.0471,183,80,none,m,GEONOSIAN,Geonosis,FALSE
Ackbar,NA,ANA,70.866,180,83,none,m,MON CALAMARI,Mon Cala,FALSE
Bossk,NA,BNA,74.803,190,113,none,m,TRANDOSHAN,Trandosha,FALSE
C-3PO,NA,CNA,65.7479,167,75,bald,m,DROID,Tatooine,FALSE
Chewbacca,NA,CNA,89.7636,228,112,brown,m,WOOKIEE,Kashyyyk,TRUE
Cordé,NA,CNA,61.8109,157,NA,brown,NA,NA,Naboo,TRUE
Dooku,NA,DNA,75.9841,193,80,white,m,HUMAN,Serenno,FALSE
Dormé,NA,DNA,64.9605,165,NA,brown,f,HUMAN,Naboo,TRUE
Gasgano,NA,GNA,48.0314,122,NA,none,m,XEXTO,Troiken,FALSE
Greedo,NA,GNA,68.1101,173,74,bald,m,RODIAN,Rodia,FALSE
Grievous,NA,GNA,85.0392,216,159,none,m,KALEESH,Kalee,FALSE
IG-88,NA,INA,78.74,200,140,none,m,DROID,NA,FALSE
Ki-Adi-Mundi,NA,KNA,77.9526,198,82,white,m,CEREAN,Cerea,FALSE
Lobot,NA,LNA,68.8975,175,79,none,m,HUMAN,Bespin,FALSE
Palpatine,NA,PNA,66.929,170,75,grey,m,HUMAN,Naboo,FALSE
R2-D2,NA,RNA,37.7952,96,32,bald,m,DROID,Naboo,FALSE
R4-P17,NA,RNA,37.7952,96,NA,none,f,DROID,NA,FALSE
R5-D4,NA,RNA,38.1889,97,32,bald,m,DROID,Tatooine,FALSE
Sebulba,NA,SNA,44.0944,112,40,none,m,DUG,Malastare,FALSE
Tarfful,NA,TNA,92.1258,234,136,brown,m,WOOKIEE,Kashyyyk,TRUE
Watto,NA,WNA,53.9369,137,NA,black,m,TOYDARIAN,Toydaria,FALSE
Yoda,NA,YNA,25.9842,66,17,white,m,YODA'S SPECIES,NA,FALSE
