Timestamp,"You are meeting a stranger in Chicago. You both know that you need to meet each other today, but you haven't agreed on a place or a time and you have no means of communication. WHERE do you go to meet them? Remember, you cannot communicate with them now or previously in any way.","You are meeting a stranger in Chicago. You both know that you need to meet each other today, but you haven't agreed on a place or a time and you have no means of communication. WHAT TIME do you go to meet them?","You are meeting another UChicago student who you have not met before. You both know that you are both UChicago students and that you should meet today, but you haven't agreed on a meeting location and you have no means of communication. Where do you go to meet them?",You are meeting your closest friend at UChicago. You haven't agreed on a meeting location and you have no means of communication. Where do you go to meet them?,"You and an anonymous partner need to choose heads or tails. If you both choose the SAME answer, you both win. Which do you choose?","You and an anonymous partner need to choose heads or tails. If you both choose DIFFERENT answers, you both win. Which do you choose?","You and an anonymous partner each give a number between 0 and 10. If you choose the same number, you both win. What number do you choose?","You and an anonymous partner each choose a number from the list below. If you choose the same number, you both win. Which number do you choose?","You and an anonymous partner each give a number. If you say the same number, you both win. The bigger the number, the more you win. What number do you choose? (your answer should contain only numerical characters; no letters, punctuation, or symbols)",Which best describes you?,OPTIONAL: Which of the following describe you? Select all that apply.,"OPTIONAL: What language do you feel most comfortable/proficient speaking? (If you consider yourself equally proficient in more than one language, list all.)",STRANGER_ERROR,STUDENT_ERROR,FRIEND_ERROR
2020-05-01T22:30:56Z,their house/where they live,1899-12-30T12:00:00Z,the library/ a common space for students to hang out,their room,Heads,Heads,7,7,100,NA,NA,NA,NA,TRUE,NA
2020-04-21T11:09:22Z,UChicago - dollop,1899-12-30T12:00:00Z,UChicago - dollop,Dollop,Heads,Heads,5,100,1000000,NA,NA,NA,NA,NA,NA
2020-04-30T15:33:40Z,UChicago quad,1899-12-30T12:00:00Z,UChicago quad,my house,Heads,Tails,5,7,1000,NA,NA,NA,NA,NA,NA
2020-04-30T11:58:01Z,where ever they are staying,1899-12-30T12:00:00Z,the middle of the quad,harper cubicles,Heads,Heads,5,100,100,NA,NA,NA,TRUE,NA,NA
2020-05-02T17:23:42Z,where you expect them to be at a certain time,1899-12-30T12:00:00Z,no idea,where  we most frequently meet,Heads,Tails,5,100,1000000,NA,NA,NA,TRUE,NA,NA
2020-05-04T09:54:27Z,NA,1899-12-30T12:00:00Z,Reg,NA,Heads,Tails,5,100,100,NA,NA,NA,TRUE,NA,NA
2020-05-01T11:52:04Z,Chicago Bean,1899-12-30T12:30:00Z,Reynolds Club,My house within Campus North,Heads,Tails,8,100,1000000000,NA,NA,NA,NA,NA,NA
2020-04-30T07:19:47Z,coffee shop/restaurant next where they're staying,1899-12-30T12:30:00Z,the quad,a coffee shop we regularly visit together,Heads,Heads,3,99,1000000,NA,NA,NA,TRUE,NA,NA
2020-04-30T11:17:06Z,Millennium Park,1899-12-30T12:30:00Z,uchicago quad,residential hall,Heads,Heads,5,555,999,NA,NA,NA,NA,NA,NA
2020-05-03T16:46:39Z,"The bean; if this person is in visiting Chicago, it probably seems like the most well-known ""Chicago spot.""",1899-12-30T12:30:00Z,Bartlett; I assume they have to stop by at some point.,My apartment... hopefully he comes back.,Heads,Tails,7,100,1000000000000,NA,NA,NA,NA,NA,NA
2020-05-02T17:44:37Z,UChicago campus,1899-12-30T12:30:00Z,Campus North,Dining hall,Heads,Tails,5,100,1e15,NA,NA,NA,NA,NA,NA
2020-05-01T13:28:06Z,a coffee shop near their place of dwelling,1899-12-30T13:00:00Z,Reynolds club,her apartment,Tails,Heads,7,99,7,NA,NA,NA,TRUE,NA,NA
2020-05-01T02:47:28Z,Art Insitute,1899-12-30T13:00:00Z,The Reynolds Club,The Reg,Heads,Tails,10,100,1000,NA,NA,NA,NA,NA,NA
2020-05-03T11:46:34Z,"I would either go to the place where we most commonly interact, if it was close. Or i would stay home.",1899-12-30T13:00:00Z,Library,Their house,Heads,Heads,0,100,1000,NA,NA,NA,TRUE,NA,NA
2020-05-04T19:47:53Z,I would meet them at the quad,1899-12-30T13:00:00Z,the quad,Rockerfeller lounge,Heads,Heads,4,261,10000000,NA,NA,NA,NA,NA,NA
2020-05-03T22:03:12Z,Millenium Park,1899-12-30T13:00:00Z,Regenstein,My apartment,Heads,Tails,4,7,100,NA,NA,NA,NA,NA,NA
2020-05-02T10:06:18Z,Navy Pier,1899-12-30T13:00:00Z,Main quad,Their dorm rooms,Heads,Heads,7,13,1000000,NA,NA,NA,NA,NA,NA
2020-05-04T13:08:09Z,Sears tower,1899-12-30T13:00:00Z,The Reg,The Reg,Heads,Heads,7,7,7,NA,NA,NA,NA,NA,NA
2020-04-30T12:12:03Z,"Somewhere thats a landmark, so if I know they're in Hyde Park/campus Harper or the Reg,but if they are not associated with UChicago the Bean or something",1899-12-30T13:00:00Z,The Reg,The Lounge,Tails,Tails,5,100,50,NA,NA,NA,NA,NA,NA
2020-04-21T11:24:12Z,Teamo,1899-12-30T13:00:00Z,Pret,Teamo,Heads,Tails,7,7,7,NA,NA,NA,NA,NA,NA
2020-05-01T16:33:36Z,The bean,1899-12-30T13:00:00Z,Plein Air,Reg 1st floor,Heads,Heads,7,100,1000000,NA,NA,NA,NA,NA,NA
2020-04-21T11:24:04Z,The Quad,1899-12-30T13:00:00Z,Ex Libris Cafe,Bartlett,Heads,Tails,7,13,22,NA,NA,NA,NA,NA,NA
2020-05-03T18:25:41Z,"Where I usually see this person (i.e in class, ratner, etc)",1899-12-30T13:00:00Z,The Reg,The reg,Tails,Tails,7,7,100,NA,NA,NA,TRUE,NA,NA
2020-05-02T16:18:15Z,Wherever we usually see each other.,1899-12-30T13:00:00Z,The Reg,The Reg,Heads,Tails,4,13,100000,NA,NA,NA,TRUE,NA,NA
2020-05-02T11:37:54Z,The Bean,1899-12-30T13:30:00Z,Quad,Psi Upsilon,Heads,Heads,7,7,1000000,NA,NA,NA,NA,NA,NA
2020-05-04T00:10:42Z,the bean,1899-12-30T13:30:00Z,"1st floor of the reg/in front of the reg, maybe check around on the quad.",my apartment. he is my roomate.,Heads,Tails,7,7,420,NA,NA,NA,NA,NA,NA
2020-05-03T20:10:12Z,Grant Park,1899-12-30T14:00:00Z,The Reg,My apartment,Heads,Tails,5,100,1000000,NA,NA,NA,NA,NA,NA
2020-04-21T11:05:45Z,Last place we met,1899-12-30T14:00:00Z,Hutchinson,Eckardt,Heads,Tails,1,555,100,NA,NA,NA,TRUE,NA,NA
2020-05-03T13:44:46Z,Reg,1899-12-30T14:00:00Z,Reg,Reg,Heads,Tails,0,100,1000000,NA,NA,NA,NA,NA,NA
2020-05-04T09:40:59Z,Reg first floor,1899-12-30T14:00:00Z,Reg,Reg,Heads,Heads,7,13,8,NA,NA,NA,NA,NA,NA
2020-05-03T20:34:33Z,regenstein,1899-12-30T14:00:00Z,NA,Quad,Heads,Heads,2,100,5,NA,NA,NA,NA,NA,NA
2020-04-30T10:05:06Z,the first floor of the reg,1899-12-30T14:00:00Z,pret or hutch,mansueto,Tails,Tails,7,7,1000000,NA,NA,NA,NA,TRUE,NA
2020-05-04T11:27:25Z,The reg,1899-12-30T14:00:00Z,The reg,Ratner Athletics Center,Tails,Heads,7,7,500,NA,NA,NA,NA,NA,NA
2020-05-04T11:21:08Z,Their house,1899-12-30T14:00:00Z,UChicago Quad,Their room,Heads,Heads,5,100,100,NA,NA,NA,NA,NA,NA
2020-04-30T13:02:14Z,first floor of reg,1899-12-30T14:30:00Z,middle of quad,Pret,Heads,Tails,5,100,1000000,NA,NA,NA,NA,NA,NA
2020-05-02T10:57:43Z,A coffee shop we both know,1899-12-30T15:00:00Z,The library,Their dorm,Heads,Tails,7,100,2000,NA,NA,NA,TRUE,NA,NA
2020-05-04T04:48:34Z,Cloudgate,1899-12-30T15:00:00Z,Regenstein Library,Regenstein Library,Tails,Heads,7,99,1000,NA,NA,NA,NA,NA,NA
2020-05-02T00:14:20Z,I stay in my dorm room and wait for them to find where I live.,1899-12-30T15:00:00Z,I go to their dorm/apartment.,At the dining hall.,Heads,Heads,0,100,1000000,NA,NA,NA,NA,NA,NA
2020-05-03T19:35:22Z,"meet at a starbucks but tell a mutual friend to tell them time/address, so we do not communicate directly",1899-12-30T15:00:00Z,reg,spot we see each other the most (reg),Heads,Tails,8,261,888,NA,NA,NA,TRUE,NA,NA
2020-05-03T14:29:59Z,The Bean,1899-12-30T15:00:00Z,Pret,The Reg,Heads,Heads,7,7,1000000000,NA,NA,NA,NA,NA,NA
2020-05-02T13:35:51Z,the Reg,1899-12-30T15:00:00Z,the quad,stacks in the reg,Heads,Tails,7,13,1000000,NA,NA,NA,NA,NA,NA
2020-04-30T10:58:39Z,First Floor of the reg. I am assuming we are meeting to work on school work.,1899-12-30T16:00:00Z,"A really trafficked place, like the road between the reg and the quad",Their room,Heads,Heads,5,261,100,NA,NA,NA,TRUE,TRUE,NA
2020-04-30T13:16:32Z,"I would go to the place where they are staying; if they are visiting I would go to their hotel, if they are a student I would go to their apartment",1899-12-30T16:00:00Z,I would go to the lobby of Reynold's Club,I would meet them at our fraternity house,Heads,Tails,7,7,777,NA,NA,NA,TRUE,NA,NA
2020-04-30T14:15:38Z,"I would go to where we last saw each other, or I would just go to their door and knock on it, surprise them",1899-12-30T16:00:00Z,the front of the reg,their room,Heads,Heads,6,100,1000000,NA,NA,NA,TRUE,NA,NA
2020-04-30T11:09:14Z,Millenium Park/ Michigan Avenue,1899-12-30T16:00:00Z,Regenstein Library,Dollop coffee,Tails,Tails,6,100,100,NA,NA,NA,NA,NA,NA
2020-05-03T21:40:04Z,A Starbucks,1899-12-30T17:00:00Z,The Reg,Their apartment/dorm,Heads,Tails,5,100,1000000,NA,NA,NA,NA,NA,NA
2020-05-04T10:12:21Z,At Milenium Park near the bean.,1899-12-30T17:00:00Z,Inside the Reg near the entrance.,Outside of Max East.,Tails,Tails,5,7,100,NA,NA,NA,NA,NA,NA
2020-04-29T17:11:47Z,"either the home of the person I am meeting if they are not likely to come to me, or stay at my home and understand that that person will come to me",1899-12-30T17:00:00Z,"the reg, the most central location on campus",our shared apartment,Heads,Tails,7,7,999,NA,NA,NA,TRUE,NA,NA
2020-04-30T10:15:54Z,Ex Libris,1899-12-30T17:00:00Z,Pret,Hallowed Grounds,Heads,Heads,10,100,10000,NA,NA,NA,NA,NA,NA
2020-04-30T21:55:36Z,his dorm,1899-12-30T17:00:00Z,the dining hall,their dorm,Heads,Heads,10,100,1000000000000,NA,NA,NA,TRUE,NA,NA
2020-05-02T02:04:07Z,I house,1899-12-30T17:00:00Z,the quad,i house,Tails,Tails,1,100,1e21,NA,NA,NA,NA,NA,NA
2020-05-03T22:16:35Z,O'hare,1899-12-30T17:00:00Z,The Reg,Their apartment,Tails,Heads,7,13,1000000,NA,NA,NA,NA,NA,NA
2020-05-02T12:12:04Z,Pret,1899-12-30T17:00:00Z,The Reg,Trott Lounge - Campus North,Heads,Tails,5,100,1000000,NA,NA,NA,NA,NA,NA
2020-04-21T11:24:12Z,Reg,1899-12-30T17:00:00Z,Pret or Reg,Reg,Tails,Heads,7,7,37,NA,NA,NA,NA,NA,NA
2020-04-21T11:06:54Z,Starbucks downtown,1899-12-30T17:00:00Z,The Reg,Our dorm building,Heads,Heads,7,7,1000,NA,NA,NA,NA,NA,NA
2020-04-30T22:29:42Z,The Reg,1899-12-30T17:00:00Z,The Reg,The Reg,Heads,Heads,10,100,100,NA,NA,NA,NA,NA,NA
2020-04-30T11:07:04Z,"To where they live or somewhere I see them often, somewhere we run into each other frequently",1899-12-30T17:00:00Z,the reg,ratner or baker,Heads,Tails,10,100,1000000000,NA,NA,NA,TRUE,NA,NA
2020-04-30T10:07:51Z,The Regenstein,1899-12-30T17:30:00Z,The Regenstein,My dorm room,Heads,Tails,6,100,1000,NA,NA,NA,NA,NA,NA
2020-04-30T22:40:58Z,In the lobby of their office/apartment building,1899-12-30T18:00:00Z,The Regenstein Library,In the I-house lounge,Tails,Tails,5,100,100,NA,NA,NA,NA,NA,NA
2020-04-30T09:46:01Z,Last place i saw them,1899-12-30T18:00:00Z,The Reg,Their apartment,Heads,Heads,5,100,1000000000,NA,NA,NA,TRUE,NA,NA
2020-04-21T11:08:46Z,North Residential  (or the last place we met),1899-12-30T18:00:00Z,The reg,North Residential,Tails,Heads,7,261,100,NA,NA,NA,NA,NA,NA
